epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21463,1.4116,2.81417,1.75477,0.61343,0.88258,0.8879,0.6156,1.39334,1.32811,1.25125,0,0,0
2,11.9124,1.24866,2.62006,1.44082,0.59672,0.89736,0.88811,0.61799,1.40522,1.35195,1.25739,1.17822e-06,1.17822e-06,1.17822e-06
3,17.4935,1.14155,4.21642,1.49516,0.57906,0.83333,0.87397,0.61303,1.42009,1.38412,1.26403,2.33288e-06,2.33288e-06,2.33288e-06
4,22.5734,1.26602,2.66753,1.44925,0.54577,0.85518,0.87205,0.60506,1.4544,1.41896,1.27974,3.46397e-06,3.46397e-06,3.46397e-06
5,27.7458,1.33652,2.85512,1.6306,0.56995,0.83333,0.87216,0.59728,1.48097,1.45318,1.29633,4.5715e-06,4.5715e-06,4.5715e-06
6,33.4735,1.63143,4.70789,1.92341,0.85308,0.57292,0.87404,0.58056,1.49193,1.50811,1.31118,5.65548e-06,5.65548e-06,5.65548e-06
7,40.07,1.39102,2.08079,1.54946,0.83811,0.56667,0.88594,0.57715,1.50564,1.54793,1.32165,6.71588e-06,6.71588e-06,6.71588e-06
8,45.5753,1.51713,3.13993,1.78324,0.83521,0.56667,0.88234,0.5469,1.51871,1.62841,1.34291,7.75273e-06,7.75273e-06,7.75273e-06
9,50.8328,1.07358,2.58994,1.35441,0.81788,0.56667,0.77945,0.5384,1.54393,1.69153,1.3615,8.76602e-06,8.76602e-06,8.76602e-06
10,56.7216,0.97614,3.33818,1.49129,0.79564,0.56667,0.74397,0.53444,1.55507,1.73789,1.37757,9.75574e-06,9.75574e-06,9.75574e-06
11,63.7381,1.35312,2.74252,1.53696,0.79587,0.58333,0.74426,0.5345,1.55446,1.74951,1.37739,1.07219e-05,1.07219e-05,1.07219e-05
12,70.4887,1.03511,2.04703,1.39474,0.77386,0.58333,0.74434,0.53466,1.55297,1.76738,1.37622,1.16645e-05,1.16645e-05,1.16645e-05
13,76.7557,0.96673,2.56504,1.22993,0.74727,0.58333,0.74415,0.53464,1.52418,1.78145,1.36018,1.25835e-05,1.25835e-05,1.25835e-05
14,82.7221,1.37973,2.41921,1.79139,0.76665,0.58333,0.74312,0.52637,1.51232,1.81152,1.35517,1.3479e-05,1.3479e-05,1.3479e-05
15,88.1173,0.81763,1.69428,1.11965,0.7899,0.41667,0.74164,0.53949,1.50706,1.82813,1.34894,1.43509e-05,1.43509e-05,1.43509e-05
16,93.8402,1.08393,2.12529,1.51728,0.92728,0.37327,0.74167,0.5346,1.51957,1.85093,1.35706,1.51993e-05,1.51993e-05,1.51993e-05
17,99.7359,0.82413,1.64668,1.15794,0.92688,0.37337,0.65989,0.49842,1.52102,1.88142,1.36039,1.60241e-05,1.60241e-05,1.60241e-05
18,106.267,1.12162,1.60269,1.34364,0.92688,0.37337,0.65989,0.49842,1.52102,1.88142,1.36039,1.68253e-05,1.68253e-05,1.68253e-05
19,112.015,0.96987,1.68143,1.16236,0.92616,0.37336,0.63236,0.48466,1.56147,1.97496,1.37213,1.7603e-05,1.7603e-05,1.7603e-05
20,117.994,1.0158,1.59971,1.32204,0.92616,0.37336,0.63236,0.48466,1.56147,1.97496,1.37213,1.83571e-05,1.83571e-05,1.83571e-05
21,123.466,1.24478,2.74275,1.63696,0.92039,0.37326,0.60379,0.46529,1.59348,2.06957,1.40909,1.90876e-05,1.90876e-05,1.90876e-05
22,128.705,1.27721,2.46747,1.67908,0.92039,0.37326,0.60379,0.46529,1.59348,2.06957,1.40909,1.97946e-05,1.97946e-05,1.97946e-05
23,134.762,0.93977,1.89147,1.40944,0.91674,0.37314,0.60472,0.46334,1.59672,2.12169,1.41173,2.0478e-05,2.0478e-05,2.0478e-05
24,140.07,1.04595,2.15364,1.52589,0.91674,0.37314,0.60472,0.46334,1.59672,2.12169,1.41173,2.11379e-05,2.11379e-05,2.11379e-05
25,145.758,0.84584,1.62519,1.25341,0.91943,0.37317,0.58448,0.44125,1.6237,2.2102,1.44473,2.17741e-05,2.17741e-05,2.17741e-05
26,152.291,0.95674,1.9016,1.37898,0.91943,0.37317,0.58448,0.44125,1.6237,2.2102,1.44473,2.23869e-05,2.23869e-05,2.23869e-05
